ckpt_path,checkpoint_iter,device,max_per_task,model_name,tokenizer,context_length,n_layer,n_head,n_embd,mcmc_num_steps,core_metric,centered_results_json
out_ebt_instruct/ckpt_iter_480000.pt,480000,cuda,100,ebt,gpt2,512,24,16,1024,1,-0.01116301402688717,"{""agi_eval_lsat_ar"": -0.08695652335882188, ""arc_challenge"": -0.10666666428248088, ""arc_easy"": 0.10666664441426595, ""bigbench_cs_algorithms"": 0.0, ""bigbench_dyck_languages"": 0.0, ""bigbench_language_identification"": 0.2189218830091856, ""bigbench_operators"": 0.0476190485060215, ""bigbench_qa_wikidata"": 0.0, ""bigbench_repeat_copy_logic"": 0.0, ""boolq"": -0.6052631955397756, ""commonsense_qa"": -0.012500002980232253, ""copa"": 0.0, ""coqa"": 0.0, ""hellaswag"": 0.04000000158945719, ""hellaswag_zeroshot"": 0.013333320617675781, ""jeopardy"": 0.0, ""lambada_openai"": 0.0, ""openbook_qa"": -0.04000000158945719, ""piqa"": -0.10000002384185791, ""squad"": 0.0, ""winograd"": 0.2592592239379883, ""winogrande"": 0.019999980926513672}"
out_ebt_instruct/ckpt_iter_480000.pt,480000,cuda,100,ebt,gpt2,512,24,16,1024,10,-0.011186801345328477,"{""agi_eval_lsat_ar"": -0.03260869160294534, ""arc_challenge"": -0.0666666825612386, ""arc_easy"": 0.10666664441426595, ""bigbench_cs_algorithms"": 0.0, ""bigbench_dyck_languages"": 0.0, ""bigbench_language_identification"": 0.22992297262772998, ""bigbench_operators"": 0.0476190485060215, ""bigbench_qa_wikidata"": 0.0, ""bigbench_repeat_copy_logic"": 0.0, ""boolq"": -0.657894724293759, ""commonsense_qa"": -0.02500000968575479, ""copa"": 0.0, ""coqa"": 0.0, ""hellaswag"": 0.04000000158945719, ""hellaswag_zeroshot"": -0.026666680971781414, ""jeopardy"": 0.0, ""lambada_openai"": 0.0, ""openbook_qa"": -0.0666666825612386, ""piqa"": -0.08000004291534424, ""squad"": 0.0, ""winograd"": 0.18518519401550293, ""winogrande"": 0.10000002384185791}"
out_ebt_instruct/ckpt_iter_480000.pt,480000,cuda,100,ebt,gpt2,512,24,16,1024,20,-0.018106699708411274,"{""agi_eval_lsat_ar"": -0.08695652335882188, ""arc_challenge"": -0.04000000158945719, ""arc_easy"": 0.10666664441426595, ""bigbench_cs_algorithms"": 0.0, ""bigbench_dyck_languages"": 0.0, ""bigbench_language_identification"": 0.22992297262772998, ""bigbench_operators"": 0.0476190485060215, ""bigbench_qa_wikidata"": 0.0, ""bigbench_repeat_copy_logic"": 0.0, ""boolq"": -0.6842105670979148, ""commonsense_qa"": -0.06250001117587091, ""copa"": 0.0, ""coqa"": 0.0, ""hellaswag"": 0.026666641235351562, ""hellaswag_zeroshot"": 0.0, ""jeopardy"": 0.0, ""lambada_openai"": 0.0, ""openbook_qa"": -0.0666666825612386, ""piqa"": -0.06000000238418579, ""squad"": 0.0, ""winograd"": 0.11111116409301758, ""winogrande"": 0.07999992370605469}"
out_ebt_instruct/ckpt_iter_480000.pt,480000,cuda,100,ebt,gpt2,512,24,16,1024,30,-0.018593932438856053,"{""agi_eval_lsat_ar"": -0.08695652335882188, ""arc_challenge"": -0.10666666428248088, ""arc_easy"": 0.04000000158945719, ""bigbench_cs_algorithms"": 0.0, ""bigbench_dyck_languages"": 0.0, ""bigbench_language_identification"": 0.24092409503210757, ""bigbench_operators"": 0.0476190485060215, ""bigbench_qa_wikidata"": 0.0, ""bigbench_repeat_copy_logic"": 0.0, ""boolq"": -0.6315789599167673, ""commonsense_qa"": -0.02500000968575479, ""copa"": 0.0, ""coqa"": 0.0, ""hellaswag"": 0.04000000158945719, ""hellaswag_zeroshot"": -0.013333340485890707, ""jeopardy"": 0.0, ""lambada_openai"": 0.0, ""openbook_qa"": -0.0933333436648051, ""piqa"": -0.08000004291534424, ""squad"": 0.0, ""winograd"": 0.2592592239379883, ""winogrande"": 0.0}"
